ID,Position,Company,Location,Job Type,Pay,Shift and Schedule,Website URL,Job Description,URL
264,Intern,EY,"Kochi, Kerala",Internship  ,,,https://eyglobal.yello.co/jobs/6lF0RVGYszH-XoS77ygTNQ?job_board_id=c1riT--B2O-KySgYWsZO1Q&src=JB-10820,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.           Job Description       Position title – Intern           Job purpose :         Finance reporting/modelling             Your internship responsibilities :         Ability to perform research and come up with an output that can be used for an informed decision.      Understanding of capital allocation, budgeting, and forecasting      creates financial statements, reports, and documents that help management in making informed decisions      Need the appetite to learn new technologies and a drive for continual improvement.             Requirements (Qualifications)      We are looking for the candidates with the following:         BCom or relevant stream      Self-motivated, with articulation skills and extremely good team player      Should participate in the organization initiatives.      Ability to travel in accordance with client and other job requirements.      Excellent written and oral communication skills; writing, publishing and conference-level presentation skills a plus      A go getter                  EY | Building a better working world           EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.          Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.          Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.",https://in.indeed.com/rc/clk?jk=e2b35efc2b42813e&bb=NOHHFKxzP5EvDBhNyJxAVqPO5r4oPi7QssTVDke8jWfbjW9UjbeWtElgHyPIbpG-iUposXR5todQHQ6Hx8rdIOSBEoUYjTGGxUs7rwjfiQCh2v_GP19eko3dm53Mv_qY&xkcb=SoDb67M3_U1xx5xUpJ0abzkdCdPP&fccid=1544766d4c2915b0&vjs=3
265,Research Analyst Intern,Blue Data Consulting,"Surat, Gujarat",Full-time  Internship  ,"₹5,000 a month  ",Day shift  Monday to Friday  ,,"We are seeking a motivated and detail-oriented Research Analyst Intern to support our Business Development team. Reporting directly to the Business Development Manager, the intern will play a key role in gathering and analyzing market data, identifying potential business opportunities, and supporting strategic decision-making processes.    Job Responsibilities:       Conduct research on market trends, industry landscapes, and competitor activities to identify potential business opportunities.    Collect and analyze data from various sources, including market reports, industry publications, and online databases.    Prepare comprehensive reports and presentations summarizing research findings and insights for internal stakeholders.    Assist in the development of strategic plans and business proposals based on research findings.    Support the Business Development Manager in maintaining and updating databases of clients, prospects, and industry contacts.    Collaborate with cross-functional teams, including Sales, Marketing, and Product Development, to gather insights and support business initiatives.    Stay updated on industry developments, emerging technologies, and market dynamics to provide timely and relevant insights.      Qualifications:       Currently pursuing a bachelor’s or master’s degree in a relevant field such as Economics, Business, Statistics, or a related discipline. Enrollment in a research-focused program is preferred.    Strong analytical skills with the ability to analyze complex data sets and derive meaningful insights. Proficiency in statistical analysis and data visualization tools is desirable.    Excellent written and verbal communication skills. Ability to articulate complex concepts and findings in a clear and concise manner.    Meticulous attention to detail with a focus on data accuracy and quality. Ability to identify discrepancies and inconsistencies in data sets.    Strong interpersonal skills with the ability to collaborate effectively in a team environment. Willingness to learn from others and contribute to team goals.    Ability to manage multiple tasks and prioritize workload effectively to meet deadlines in a fast-paced environment.    Proficiency in Microsoft Office suite (particularly Excel and PowerPoint). Familiarity with statistical software such as R, SPSS, or Python is a plus.    Demonstrated professionalism and integrity in handling sensitive and confidential information.      Internship Duration- 6 months     Stipend- Rs.5000 per month     Working hours- 09:30 AM to 05:30 PM     Working days- Monday to Friday      Location- Vesu, Surat.     Job Types: Full-time, Internship Contract length: 4-6 months   Pay: ₹5,000.00 per month   Benefits:      Commuter assistance    Leave encashment     Schedule:      Day shift    Monday to Friday     Ability to commute/relocate:      Surat, Gujarat: Reliably commute or planning to relocate before starting work (Required)",https://in.indeed.com/rc/clk?jk=b61648dd4a5756a0&bb=NOHHFKxzP5EvDBhNyJxAVgjvRrzd2C_H0mSq-jnNAM5kRh-In2Gfk78hRzgXMYLBRbRsZdbaKbb-ztXv7wJQgUVjq_65ETZqcrtgen0IUIza-A0O9n3lkB6mTRJMYDck&xkcb=SoBG67M3_U1xx5xUpJ0ZbzkdCdPP&fccid=4845ba5acd0ab86e&cmp=Blue-Data-Consulting&ti=Research+Intern&vjs=3
266,HRBP - Intern,Illumine Industries,"Chennai, Tamil Nadu",Full-time  Internship  ,,,https://illumine.keka.com/careers/jobdetails/61880,"Job Summary          We are seeking a proactive and enthusiastic HRBP Intern to join our dynamic Human Resources team. This internship provides an excellent opportunity for individuals with 0-1 year of experience to gain hands-on experience and develop their skills in HR business partnering. The HRBP Intern will assist the HR Business Partner team in supporting various departments, contributing to HR projects, and fostering a positive workplace culture.          Key Responsibilities           Support HRBP Activities:            Assist HR Business Partners in daily tasks, including employee relations, performance management, and talent development.      Help coordinate and participate in HR initiatives and projects that align with business objectives.            Employee Engagement:            Support the planning and execution of employee engagement activities and events.      Assist in collecting and analyzing employee feedback to help improve workplace culture.            Talent Acquisition:            Assist in the recruitment process, including job postings, resume screening, and coordinating interviews.      Participate in onboarding activities to ensure a smooth integration of new employees.            Data Management and Reporting:            Maintain accurate HR records and employee information in HR systems.      Prepare HR reports and presentations as needed.            HR Compliance:            Assist in ensuring compliance with labor laws and company policies.      Support the documentation and implementation of HR policies and procedures.            Learning and Development:            Support the coordination and administration of training programs and workshops.      Assist in tracking employee training and development activities.           Qualifications           Education:            Currently pursuing or recently completed a degree in Human Resources, Business Administration, or a related field.            Experience:            0-1 year of experience in a Human Resources role, internship experience is a plus.            Skills:            Strong organizational and time-management skills.      Excellent verbal and written communication skills.      Proficient in Microsoft Office Suite (Word, Excel, PowerPoint).      Ability to handle sensitive information with confidentiality and professionalism.      Basic understanding of HR principles and practices.      Eagerness to learn and adapt in a fast-paced environment.",https://in.indeed.com/rc/clk?jk=7170baeab177b963&bb=NOHHFKxzP5EvDBhNyJxAVmc3BxunZYEipH_VInB-TvS5WWyHSMcRvckDHLxRq6TG5qxyfU8F09ACj5u32Phd9i_7l-4aP6DcJsRsO5jRHKrBS4Ft5V8aCOZtH3nb-52M&xkcb=SoDy67M3_U1xx5xUpJ0YbzkdCdPP&fccid=8e253b35af513d93&vjs=3
267,Business Development Intern,The Lush School of Design,"Jubilee Hills, Hyderabad, Telangana",Internship  ,"₹8,086.00 - ₹29,703.42 a month  ",,,"1. Market Research: Identify new business opportunities through market analysis.   2. Strategic Planning: Develop and implement growth strategies and set business goals.   3. Relationship Management: Build and maintain relationships with clients, partners, and stakeholders.   4. Sales and Marketing: Collaborate on campaigns, drive lead generation, and pursue sales opportunities.   5. Product Development: Align products with market needs and support new product launches.   6. Financial Management: Develop budgets, monitor financial performance, and ensure cost-effective operations.   7. Operational Efficiency: Streamline processes and implement best practices.   8. Brand Development: Enhance brand presence and participate in industry events.   9. Innovation and Adaptation: Stay updated on industry trends and adapt strategies accordingly.   10. Reporting: Maintain records and report on business development activities and progress.   Job Type: Internship Contract length: 3 months   Pay: ₹8,086.00 - ₹29,703.42 per month   Experience:      total work: 1 year (Preferred)     Work Location: In person",https://in.indeed.com/rc/clk?jk=1a5f9cd99452c65b&bb=NOHHFKxzP5EvDBhNyJxAVjEfaa8C2xkqTHbSvPFwMrboc5Pew15v-DDcytSN9qliFM1t05bPanHtai7NanKkqma8bmgWftB-FH0InQxbqvO6rrwrUnY-3jTgfDYDewJm&xkcb=SoB867M3_U1xx5xUpJ0fbzkdCdPP&fccid=3382addf8ffa4993&cmp=The-Lush-School-of-Design&ti=Business+Development+Intern&vjs=3
268,Human Resource Intern,Digital Dost,Remote,Internship  Fresher  ,"₹1,000 a month  ",Rotational shift  Monday to Friday  ,,"Recruitment and Onboarding:       Develop and implement effective recruitment strategies.    Manage the full recruitment lifecycle including job posting, interviewing, and hiring.    Oversee onboarding processes to ensure new employees are integrated smoothly.      Employee Relations:       Serve as a point of contact for employee inquiries and concerns.    Address employee grievances and foster a positive working environment.    Conduct exit interviews and analyze feedback for improvement.      Operations &amp; Management:       Coordinate and assist with the interns for daily tasks.    Develop performance improvement tasks and monitor the tasks are completed on time.      Training and Development:       Identify training needs and create or procure training programs.    Organize and conduct training sessions to enhance employee skills.      Compensation and Benefits:       Manage and administer employee benefits programs.    Handle payroll processing and resolve any payroll issues.      HR Analytics:       Collect and analyze HR data to make informed decisions.    Prepare reports and presentations for senior management.     Job Types: Fresher, Internship Contract length: 3 months   Pay: ₹1,000.00 per month   Benefits:      Work from home     Schedule:      Monday to Friday    Rotational shift     Work Location: Remote",https://in.indeed.com/rc/clk?jk=b5e1141cd52f43cf&bb=NOHHFKxzP5EvDBhNyJxAVqcsaCu3vfbEveajNQTCR7lvugRFwDnXno7N901SgU6ncEE9xwdUCHkaXX_FGG-6jYlvdFsf93l2w61Y2jdqDOhcKlKV0kOBYFubJaYtx4lb&xkcb=SoDI67M3_U1xx5xUpJ0ebzkdCdPP&fccid=67adb80972a1528e&cmp=Digital-Dost&ti=Human+Resources+Intern&vjs=3
269,Python Internship,TOPS Technologies Pvt. Ltd,"Varachha, Surat, Gujarat",Full-time  Internship  Fresher  ,"From ₹18,000 a month  ",,,"Job Overview    We are seeking an enthusiastic and motivated Intern Python to join our team at Teiox IT Solutions. As an Intern Python, you will have the opportunity to work on exciting projects and gain hands-on experience in software development. This is a full-time internship in Surat, Gujarat, India. We are looking for a fresher who is passionate about Python and eager to learn.    Qualifications And Skills       Fresher with experience in Python development    Strong understanding of Python programming language    Knowledge of web development frameworks like Django    Experience or familiarity with mobile application development using Dart and Flutter is a plus    Familiarity with API integrations and RESTful services    Good problem-solving skills and attention to detail    Excellent written and verbal communication skills    Ability to work collaboratively in a team environment    Passion for learning and eagerness to contribute to the success of the team      Roles And Responsibilities       Collaborate with the development team to design, develop, and test Python applications    Assist in troubleshooting and resolving software defects    Participate in code reviews to ensure code quality    Learn and apply best practices in software development    Work on projects with defined deadlines and deliver high-quality code    Contribute to the overall improvement of the software development processes    Stay updated with the latest trends and technologies in Python development     Job Types: Full-time, Fresher, Internship   Pay: From ₹18,000.00 per month   Supplemental pay types:      Overtime pay     Education:      Higher Secondary(12th Pass) (Preferred)     Work Location: In person",https://in.indeed.com/rc/clk?jk=17277a92b9baff7b&bb=NOHHFKxzP5EvDBhNyJxAVlVBrjj6TuuZOEm2wsculcMvBx-b4MSexzkUHW2gLV5nyyQcuT1u83b0ecVGOfRzeIRYGjei8T4mLyDBgyFfWMk-UrtlIEB6PlfJjykRsPKs&xkcb=SoBV67M3_U1xx5xUpJ0dbzkdCdPP&fccid=fd379695beacb012&cmp=TOPS-Technologies-Pvt.-Ltd&ti=Intern&vjs=3
270,HR Intern,YTPS HR Services,"Baner, Pune, Maharashtra",Full-time  Internship  ,"₹7,000 a month  ",Day shift  ,,"JOB DESCRIPTION: -     Company Name: - YTPS HR India Pvt Ltd     Job Title:  HR Intern Full Time    Experience: -  Freshers or 6 Month    Location : Baner, Pune    Employment Type:  Internship    Work Type : WFO    Work Timing:  10:00 AM TO 07:00 PM    Working Days:  Mon- Fri    Immediate Joiner     Period: 6 Months  (After successful competition of your internship you will be evaluated and based on your performance you will be offered PPO)    Stipend:  7K per month   Reports To: Managing Partner    Company Overview:    YTPS HR India Pvt Ltd. is a dynamic and forward-thinking start-up company (Consultancy) founded in Year 2022. The company is committed to excellence in IT and Non- IT Recruitment. We are looking for a talented HR student who can join our team and play a pivotal role in attracting and selecting top talent to drive our company's success.    Job Summary:    As an HR Intern at YTPS, you will be responsible for End-to-End Recruitment, identifying, attracting, and recruiting qualified candidates to fill various their positions for our client. You will work closely with co- founders and managing partners to understand staffing needs and implement effective recruitment strategies. Your role is crucial in building a high-performing team that aligns with our company's values and objectives.    Key Responsibilities:       Collaborate with Co- founders and managing partners to know about the job requirements.    Source candidates through various channels, including job boards, social media, networking, and referrals.    Conduct initial candidate screenings, interviews, and assessments to evaluate qualifications and cultural fit.    Manage the end-to-end recruitment process, from posting job openings to making job offers.    Maintain accurate and up-to-date records in the applicant tracking system.    Build and maintain a strong candidate pipeline for current and future hiring needs.    Provide support to managing partners on interview techniques and best practices.    Stay up-to-date with industry trends and best practices in recruitment.      Qualifications:       Masters’ degree pursuing in HR    Bachelor's degree    Excellent communication and interpersonal skills.    Ability to work independently and collaboratively in a fast-paced environment.    Proficiency in using MS Excel.      Additional Information:       Opportunities for professional growth and development.    A supportive and inclusive work culture.    Work life Balance     Job Types: Full-time, Internship Contract length: 6 months   Pay: ₹7,000.00 per month   Benefits:      Flexible schedule     Schedule:      Day shift     Supplemental pay types:      Performance bonus     Education:      Bachelor's (Required)",https://in.indeed.com/rc/clk?jk=d85e74708f26d4ac&bb=NOHHFKxzP5EvDBhNyJxAVqiQPbl3AZAKGXjGtn3tXfg0mhr47ko5bIRpX5cX5lr46YZGsiFgy6ttVqXz9ayaFCUEgnCKU3lJ5O7AUkuOPIPHgN7JjYmBCIkjIVaYQo_O&xkcb=SoDh67M3_U1xx5xUpJ0cbzkdCdPP&fccid=bcac9bb4fe00c8d5&cmp=YTPS-HR-Services&ti=Human+Resources+Intern&vjs=3
271,Social Media Intern,imminity private limited,"Remote in Kolkata, West Bengal",Internship  ,"₹5,000 - ₹8,000 a month  ",Monday to Friday  ,,"Job Description : As a Social Media Intern at [Your Company Name], you will have the opportunity to learn and gain hands-on experience in managing and creating content for various social media platforms. You will work closely with our marketing team to enhance our social media strategy and engage with our audience.    Responsibilities :      Assist in creating and curating engaging content for our social media platforms, including Facebook, Twitter, Instagram, LinkedIn, and others.    Schedule and publish posts using social media management tools.    Monitor and respond to comments, messages, and mentions across social media platforms.    Help develop and implement social media campaigns to increase brand awareness and engagement.    Conduct research on current trends, hashtags, and best practices in social media.    Analyze social media metrics and provide reports on the performance of social media campaigns.    Collaborate with the marketing team to brainstorm and create new ideas for content and campaigns.    Assist in planning and executing social media contests and giveaways.    Stay up-to-date with changes and trends in social media algorithms and tools.      Requirements :      Currently pursuing or recently completed a degree in Marketing, Communications, Digital Media, or a related field.    Strong written and verbal communication skills.    Familiarity with major social media platforms Facebook, Instagram, LinkedIn,    Basic understanding of social media analytics and metrics.    Creative thinking and ability to generate innovative ideas.    Ability to work independently and as part of a team.    Attention to detail and strong organizational skills.    Previous experience in social media management or content creation is a plus but not required.     Job Type: Internship Contract length: 6 months   Pay: ₹5,000.00 - ₹8,000.00 per month   Benefits:      Work from home     Schedule:      Monday to Friday     Supplemental pay types:      Commission pay    Performance bonus     Experience:      total work: 2 years (Preferred)     Work Location: Remote   Expected Start Date: 15/06/2024",https://in.indeed.com/rc/clk?jk=098c6eb07caf8f69&bb=Vu9IQH6Olh2pd9qYBOxXXH2vyCJkjScY88NW5Re8uShEvTJt_drIyNG4a6LiddmchWzUwOFrg3HSmGZydZH-V-El7ItkGApiczz7_DANZFAOLUecnMHnyFtg_Z-s7_j7&xkcb=SoB-67M3_U2I1lAMBr0LbzkdCdPP&fccid=93e3c27dd376e9d3&cmp=imminity-private-limited&ti=Social+Media+Intern&vjs=3
272,Human Resource Intern,Geek Master Digital Services Pvt.Ltd.,"Gurugram, Haryana",Internship  ,"₹8,000 - ₹10,000 a month  ",Morning shift  Day shift  Monday to Friday  ,,"Geek Master  is hiring Talent Acquisition and Recruitment Interns to work full-time out of our office premises in Gurgaon. We require the person to understand the recruitment functions. Ultra-high proficiency in verbal communication, written communication, and operating Google Sheets and Google Forms is mandatory.    Role:  HR Intern    Stipend  : 10k Per month    Tenure : 6 Months    Responsibilities:        Outbound and Inbound Sourcing:  Utilise multiple job portals including Naukri, Indeed, and LinkedIn to source potential candidates.    Assist in the recruitment process by sourcing candidates, screening resumes, and conducting initial interviews.     Pre-Screening Calls : Conduct telephone interviews with candidates to assess their qualifications and suitability for the role.     Candidate Experience : Manage candidates through the hiring process, including scheduling interviews, sending reminders, and facilitating initial communication.    Collaborate with hiring managers to understand staffing needs and develop job descriptions.      Requirements:       Strong communication and interpersonal skills.    Proficiency in Google Sheets and Forms.    Bachelor's degree in Business, or a related field.    Ability to prioritize tasks and manage time effectively.    Ability to work effectively under tight deadlines.    Excellent communication skills (written and spoken)    Highly motivated and willing to work hard.     If anyone is interested, please share your CV at   hr@geekmaster.io   Job Type: Internship Contract length: 6 months   Pay: ₹8,000.00 - ₹10,000.00 per month   Schedule:      Day shift    Monday to Friday    Morning shift     Work Location: In person",https://in.indeed.com/rc/clk?jk=b486a7c291c6e24c&bb=Vu9IQH6Olh2pd9qYBOxXXL-B7iyQFab_Ulm2vmO9qDQAHNZIY69k5Itd6Wl0nYjDDSEVbI06QvFRCVtuRW1mi2TYBgBEsH0gcLxJUFZ5C0jnv_uCOsBCn10rQpCSOnZ-&xkcb=SoDK67M3_U2I1lAMBr0KbzkdCdPP&fccid=ad17b930d2b890ef&cmp=Geek-Master-Digital-Services-Pvt.Ltd.&ti=Human+Resources+Intern&vjs=3
273,Management Intern,"Chamber of Commerce, Sustainable Development and...","Vasant Vihar, Solapur, Maharashtra",Internship  ,,,https://chamberindia.org/careers,"Chamber India warmly welcomes people of all genders, nationalities, sexual orientations, religions and ethnicities to join us in creating a better future for everyone.          We value diversity and are devoted to fostering an inclusive workplace for every employee. Our goal is to build a team with a diverse set of backgrounds, viewpoints and skills. We encourage people from all walks of life to join our team and bring their unique and best selves to work.          Inequality is detrimental to the society we serve. Through our initiatives, we strive to effect long-lasting constructive change towards diversity and equality.          Applications open           Key responsibilities:            Assist the team in general administrative operations.         Drafting emails, research work, formatting documents, records, and reports.         Assist the team in facilitating incoming and outgoing communications.         Supporting the team in tasks related to recruitment, content, etc.",https://in.indeed.com/rc/clk?jk=8a8fd416bd7c62d8&bb=Vu9IQH6Olh2pd9qYBOxXXEBkF9f1igo9tCyEi7XW6f1Z-BXO-HU9RefQNp-nbyGgbIihBZRTYUKU_adMUqmA9huaGp2ClgJqFj-uJFWkgbHS4gn7BjteElfqF-pLazen&xkcb=SoBX67M3_U2I1lAMBr0JbzkdCdPP&fccid=abdc45e41761e585&vjs=3
274,Business Development Intern,Unifynd Technologies,"Mumbai, Maharashtra",Full-time  Internship  ,"₹10,000 - ₹15,000 a month  ",Day shift  Monday to Friday  ,,"Responsibilities:    ● Identifying and generating new leads for various industries.   ● Developing and executing various strategic business plans.   ● Working closely with the Enterprise Sales Team.   ● Documenting and presenting reports after any business-related activity.   ● Remain highly knowledgeable about industry trends, market activities, and competitors.   ● Ensuring all the business development activities are coordinated and executed in a timely manner.   ● Track your performance against quantitative goals, brainstorming and executing optimizations as needed.   ● Sharing and implementing best practices across industries.   ● Providing support to the sales team on all aspects of the sales process.   ● Demonstrating and presenting products.   ● Aiming to achieve monthly or annual targets.   ● Attending trade exhibitions, conferences and meetings    Skills &amp; Experience:    ● Strong business acumen and skills.   ● Knowledge of Pipedrive or any other Sales CRM   ● Proficiency in Microsoft Office tools   ● Must be an exceptional communicator.   ● Determined and ambitious.   ● Excellent time management and organizational skills.   ● Strong attention to detail and accuracy.   ● Capable of flourishing in a competitive environment.   ● Develop deep knowledge of Unifynd’s value proposition and connect it to the client’s needs.   ● You must be highly motivated and continuously strive for personal and professional improvement.   ● Should be based out of Mumbai   Job Types: Full-time, Internship   Pay: ₹10,000.00 - ₹15,000.00 per month   Schedule:      Day shift    Monday to Friday     Application Question(s):      Current Stipend?    Expected Stipend?    Are you willing to travel to Lower Parel/Curry Road (Mumbai)?    Notice period in days?",https://in.indeed.com/rc/clk?jk=7e7693925eb0bef7&bb=Vu9IQH6Olh2pd9qYBOxXXE2nSgGRIskOXH-oT7w3fMN-OGar8a5vfSASASXEY9N7Qr2DQ5O7q-arxKGFkw9K2lkFv8PPaUfXrFuv4DUr2_MzQRPi5VVdVIGr8XbMp0-M&xkcb=SoDj67M3_U2I1lAMBr0IbzkdCdPP&fccid=8ff12691a14eb7f4&cmp=Unifynd-Technologies&ti=Business+Development+Intern&vjs=3
275,HR Intern,ABA Infotech Pvt. Ltd.,"Gurugram, Haryana",Internship  ,"₹13,000 - ₹15,000 a month  ",Day shift  ,,"Hello Connections! Greetings from ABA Infotech Private Limited !! Title: HR Intern Location: Gurugram (Onsite) Job Type: Internship Job Description: Requirements: Masters in Human Resources, Business Administration, or related field. Strong organizational and time management skills. Excellent verbal and written communication skills. Proficiency in Microsoft Office Suite (Word, Excel, PowerPoint). Ability to maintain confidentiality and handle sensitive information with discretion. Proactive and eager to learn with a positive attitude. Previous internship experience in HR or related field is a plus. Note:- Female Candidates Only Benefits: Opportunity to gain hands-on experience in various aspects of HR. Exposure to real-world HR practices and processes. Mentorship and guidance from experienced HR professionals. Networking opportunities within the company and industry. Duration: 3 months. Perks: Certificate, stipend. How to Apply: Please submit your resume by putting HR INTERN PROFILE in the Subject Line   Job Type: Internship Contract length: 3 months   Pay: ₹13,000.00 - ₹15,000.00 per month   Benefits:      Paid time off     Schedule:      Day shift     Work Location: In person",https://in.indeed.com/rc/clk?jk=2cb854fa30754fc0&bb=Vu9IQH6Olh2pd9qYBOxXXK7i8pxB9zM5KDGnDqc7jsA4wsMHatIDKplwbMlcDVj9N2i5W-FqvumqcK7Li40nUVPWIrtSH8hs_MmVOFwhnYzw19w_DiYJk0VvL9fHr5mO&xkcb=SoBt67M3_U2I1lAMBr0PbzkdCdPP&fccid=2adde5ae990025ae&cmp=ABA-Infotech-Pvt.-Ltd.&ti=Human+Resources+Intern&vjs=3
276,HR intern,ATS Corporation,"Bengaluru, Karnataka",Internship  ,,,https://jobs.atsautomation.com/job/Bangalore-HR-intern-KA/1078909601/?feedId=276601&utm_source=Indeed&utm_campaign=ATS_Indeed,"Summary:          We are seeking a motivated and enthusiastic HR Intern to join our Human Resources team. This internship offers a valuable opportunity to gain hands-on experience in various HR functions and contribute to the overall success of our HR department. The HR Intern will assist with day-to-day HR operations and participate in special projects.         Responsibilities:          Assist in posting job openings on various job boards and social media platforms.      Maintain and update the recruitment database.      Support the onboarding process for new hires, including preparing onboarding materials and conducting orientations.      Assist in organizing and maintaining employee files and records.      Help organize and execute employee engagement activities, team-building events, and recognition programs.      Update and maintain HR documents, such as employee handbooks and policies.      Support the HR team in various administrative tasks and projects as needed.      Conduct research on HR best practices, labor laws, and market trends to support HR initiatives.      Help with general office duties such as filing, vendor management and managing correspondence.         Qualifications:       Education:  Currently pursuing or recently completed a Bachelor’s or Master’s degree in Human Resources, or a related field.      Skills:          Excellent verbal and written communication skills.      Ability to handle sensitive and confidential information with discretion.      Familiarity with HR tools, as well as proficiency in Microsoft Office Suite (Word, Excel, PowerPoint).                        Job Description                                 Additional Information                       About ATS      ATS is an industry-leading automation solutions provider to many of the world’s most successful companies. ATS uses its extensive knowledge base and global capabilities in custom automation, repeat automation, automation products and value-added services, including pre-automation and after-sales services, to address the sophisticated manufacturing automation systems and service needs of multinational customers in markets such as life sciences, food &amp; beverage, transportation, consumer products, and energy. Founded in 1978, ATS employs over 6,000 people at more than 50 manufacturing facilities and over 75 offices in North America, Europe, Southeast Asia, South Asia, and China. The Company’s shares are traded on the Toronto Stock Exchange under the symbol ATS.",https://in.indeed.com/rc/clk?jk=fd1c3e750484fafc&bb=Vu9IQH6Olh2pd9qYBOxXXAmvOTvrV0kHU265KVCec4xOkp_l9e_GxS0OxaMnEj3BkOFbS8-ryM7Yk8Ijfc1B95aC4MXAWPIYcaYppDrLDe-4bo32pkPmcEBa7pp-mbUI&xkcb=SoDZ67M3_U2I1lAMBr0ObzkdCdPP&fccid=2f4b6fefe7177545&vjs=3
277,Social Media Strategist Internship,Zizzy technologies,"Ahmedabad, Gujarat",Full-time  Internship  ,"Up to ₹6,000 a month  ",,,"Position Overview:  We are seeking a highly motivated and creative individual to join our team as a Viral Content Strategist Intern. In this role, you will work closely with our social media team to generate ideas for maintaining virality and managing our personal brand across various social media platforms. You will have the opportunity to contribute innovative ideas, analyze trends, and assist in creating and curating content that resonates with our audience.    Responsibilities:       Collaborate with the social media team to brainstorm and develop ideas for viral content that aligns with our brand identity and objectives.    Research and analyze industry trends, competitor strategies, and audience preferences to inform content strategy and optimize engagement.    Assist in creating and curating high-quality visual and written content for our social media channels, including but not limited to Instagram, Twitter, Facebook, and TikTok.    Monitor and analyze the performance of social media content using analytics tools, and provide insights and recommendations for optimization.    Stay up-to-date with the latest social media trends, algorithms, and best practices to ensure our content remains relevant and competitive.    Support the social media team in managing our personal brand by maintaining a consistent and authentic voice across all platforms.    Collaborate with cross-functional teams, including marketing, design, and content, to align social media efforts with overall business objectives.      Qualifications:       Currently enrolled in or recent graduate of a degree program in marketing, communications, digital media, or a related field.    Passion for social media and a deep understanding of various platforms, including Instagram, Twitter, Facebook, TikTok, etc.    Strong creative thinking and problem-solving skills, with the ability to generate innovative ideas and concepts.    Excellent written and verbal communication skills, with a keen eye for detail and the ability to adapt your writing style to different platforms and audiences.    Proficiency in social media analytics tools (e.g., Sprout Social, Hootsuite, Google Analytics) is a plus.    Ability to work independently and collaboratively in a fast-paced environment, with a proactive and results-driven approach.    A strong sense of ownership and accountability, with a commitment to delivering high-quality work and achieving measurable results.     Job Types: Full-time, Internship Contract length: 6 months   Pay: Up to ₹6,000.00 per month   Benefits:      Work from home     Supplemental pay types:      Commission pay     Experience:      total work: 1 year (Preferred)",https://in.indeed.com/rc/clk?jk=931decb315ab24bc&bb=Vu9IQH6Olh2pd9qYBOxXXB2Q9V_1MOdIJQdsRNuEe7amFmqsoMx9FTF-PHvwnempNXcnSEydKjzYQv2COqfdtRjuN-XAKz7cbom2rRXNYC7bwkAhA02qLbssSRvcD8Ro&xkcb=SoBE67M3_U2I1lAMBr0NbzkdCdPP&fccid=88e35736cd4a3308&cmp=Zizzy-Technologies&ti=Social+Media+Strategist&vjs=3
